,Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,Cluster
55,GA,56022,DECATUR,OFF,LIQUOR/PACKAGE STORE,5.0,15.166667,1.0,0.0,0.0,0.0,21.166667,1,6,5,1.763888917,187.6913262,2.0
56,GA,66008,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,5.0,2.0,0.0,0.0,0.0,0.0,7.0,1,6,5,0.583333333,190.17,0.0
57,GA,50587,ATLANTA,OFF,LIQUOR/PACKAGE STORE,5.0,7.0,1.0,0.0,0.0,0.0,13.0,1,3,3,1.083333333,178.4184462,0.0
58,GA,23522,GRAYSON,OFF,LIQUOR/PACKAGE STORE,5.0,7.0,3.0,1.0,1.0,0.0,17.0,1,1,1,1.416666667,185.2464353,0.0
59,GA,44184,ATLANTA,OFF,LIQUOR/PACKAGE STORE,5.0,7.0,2.0,1.0,1.0,1.0,17.0,1,9,7,1.416666667,233.9299765,2.0
60,GA,98612,JEKYLL ISLAND,ON,HOTEL/ MOTEL,4.833335,8.166671,0.0,0.0,0.0,0.0,13.000006,1,15,9,1.083333833,145.7857019,2.0
61,GA,91974,ATLANTA,OFF,LIQUOR/PACKAGE STORE,4.833334,5.5,0.0,0.0,0.0,0.0,10.333334,1,9,5,0.861111167,172.9770856,2.0
62,GA,33379,MILLEDGEVILLE,OFF,LIQUOR/PACKAGE STORE,4.833333,1.833333,0.333333,0.0,0.0,0.0,6.999999,1,4,3,0.58333325,143.7652777,0.0
63,GA,15585,ROSWELL,ON,RESTAURANT,4.666666,0.666667,0.166667,0.0,0.0,0.0,5.5,1,5,5,0.458333333,143.1972727,1.0
64,GA,40305,ATLANTA,ON,RESTAURANT,4.500002,10.333338,2.000001,0.0,0.666668,0.0,17.500009,1,22,10,1.458334083,163.6173444,2.0
65,GA,68778,COVINGTON,OFF,LIQUOR/PACKAGE STORE,4.5,4.5,1.5,0.0,0.0,0.0,10.5,1,4,4,0.875,199.8466571,0.0
66,GA,45964,SMYRNA,OFF,NON-RETAIL,4.5,1.833333,0.0,0.0,0.0,0.0,6.333333,1,2,2,0.52777775,135.8686019,0.0
67,GA,39567,KENNESAW,ON,RESTAURANT,4.333333,1.333333,0.333333,0.0,0.0,0.0,5.999999,1,3,3,0.499999917,160.8116935,1.0
68,GA,72315,ROCKMART,ON,RESTAURANT,4.333333,0.0,0.0,0.0,0.0,0.0,4.333333,1,3,3,0.361111083,165.1846281,1.0
69,GA,67494,AUSTELL,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1,1,1,0.5,160.675,0.0
70,GA,40580,NEWNAN,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,1.0,0.0,0.0,0.0,7.0,1,5,3,0.583333333,211.0056857,0.0
71,GA,83251,LITHONIA,OFF,LIQUOR/PACKAGE STORE,4.0,2.0,1.0,0.0,0.0,0.0,7.0,1,3,3,0.583333333,183.7271143,0.0
