Cluster,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price,OnOff Premises_OFF,OnOff Premises_ON,Classes of Trade_BAR/TAVERN,Classes of Trade_CONCESSIONAIRE,Classes of Trade_CONVENIENCE/ GAS,Classes of Trade_DRUG STORE,Classes of Trade_GENERAL MERCHANDISE,Classes of Trade_HOTEL/ MOTEL,Classes of Trade_LIQUOR/PACKAGE STORE,Classes of Trade_MILITARY ON-PREMISE,Classes of Trade_NON-RETAIL,Classes of Trade_OTHER ON PREMISE,Classes of Trade_RECREATION/ ENTERTAINMENT,Classes of Trade_RESTAURANT,Classes of Trade_RETAIL-SPECIALTY SERVICES,Classes of Trade_SMALL GROCERY STORE,Classes of Trade_SUPERMARKET,Classes of Trade_TASTING ROOM,Classes of Trade_WHOLESALE CLUB
0,-0.08170994937802607,-0.11896428590368537,-0.044264122691368465,-0.01850343315666255,-0.05212999510152268,-0.005566640400034368,-0.10856082479859236,-0.23040418093373582,-0.2213554188101904,-0.11169662991261833,0.11582473152665372,1.0,0.0,0.0,0.0,0.01833810888252149,0.0005730659025787965,0.0017191977077363897,0.0,0.9146131805157593,0.0,0.006303724928366762,0.0,0.0,0.0,0.0005730659025787965,0.013753581661891117,0.040687679083094556,0.0,0.0034383954154727794
1,-0.15522379931250804,-0.24834133054522536,-0.12860349238657084,-0.1521953641712488,-0.09530840272352606,-0.11056164744262381,-0.22952451214975603,-0.2612500327318009,-0.3137119605535307,-0.2230684471679987,-0.17236086937356976,0.0019550342130987292,0.9980449657869013,0.3069403714565005,0.019550342130987292,0.0,0.0,0.0,0.03519061583577713,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.04985337243401759,0.5835777126099707,0.0,0.0,0.0,0.0019550342130987292,0.0009775171065493646
2,0.7120001114505865,1.3669824132375508,0.4891066003623407,0.5318631674243207,0.10757564582643188,0.2117724713167622,1.0003229727508747,2.060141651294353,2.2497378170310083,0.9972538792620772,-0.10717706005158115,0.6221498371335505,0.3778501628664495,0.09771986970684039,0.006514657980456026,0.003257328990228013,0.0,0.0,0.02280130293159609,0.5602605863192183,0.003257328990228013,0.03257328990228013,0.0,0.019543973941368076,0.2182410423452769,0.0,0.0,0.016286644951140065,0.009771986970684038,0.009771986970684038
3,20.406187616391026,10.284969577658234,14.347832920323336,3.2774130186244936,1.9299750952058898,12.368508275090967,21.492203519348564,7.490105678425175,2.595561534571514,21.46059884811518,0.05628556079581083,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
4,0.12989152005079221,0.09359787501504818,0.13946764615199772,1.2880782146443626,16.413523754309566,0.925574559694917,3.463805387870144,0.7655743947704867,0.6823095003598534,3.456700480495908,0.7654697830892242,0.8888888888888888,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
