Dist. STATE,Account ID,City,OnOff Premises,Classes of Trade,Siempre Plata,Siempre Reposado,Siempre Anejo,Siempre Supremo,Siempre Rebel Cask,Siempre Exclusivo Vivo,Total Cases,Did Buys,# Purchases,# Months Purchased,Rate of Sale: Units / Month,Ave Unit Price
GA,67732,DECATUR,OFF,LIQUOR/PACKAGE STORE,0.5,0.5,0.166667,0,0,0,1.166667,1,1,1,0.09722225,187.0270608
GA,26592,SAINT SIMONS ISLAND,ON,HOTEL/ MOTEL,0.5,0.166667,0,0,0,0,0.666667,1,1,1,0.055555583,134.2124329
GA,66817,POOLER,OFF,LIQUOR/PACKAGE STORE,0.5,0,0,0,0,0,0.5,1,1,1,0.041666667,183.57
GA,45590,LAGRANGE,OFF,LIQUOR/PACKAGE STORE,0.5,0,0,0,0,0,0.5,1,1,1,0.041666667,183.57
GA,68739,LAGRANGE,ON,RESTAURANT,0.333334,0,0,0,0,0,0.333334,1,1,1,0.027777833,89.47482105
GA,89771,MARIETTA,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,85229,ATLANTA,ON,RESTAURANT,0.333334,0.833334,2,0,0,0,3.166668,1,8,6,0.263889,226.1130627
GA,49327,ATLANTA,ON,BAR/TAVERN,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,58866,SANDY SPRINGS,ON,RESTAURANT,0.333334,0,0,0,0,0,0.333334,1,2,2,0.027777833,178.9496421
GA,56038,LAGRANGE,ON,BAR/TAVERN,0.333334,0,0,0,0,0,0.333334,1,1,1,0.027777833,89.47482105
GA,21583,PORT WENTWORTH,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,2,1,0.055555667,169.8596603
GA,81668,ATLANTA,ON,RESTAURANT,0.333334,5.333336,0,0,0,0,5.66667,1,10,7,0.4722225,152.7899101
GA,58246,CLARKESVILLE,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,26511,POOLER,ON,RESTAURANT,0.333334,2.333335,0.5,0.5,0,0.5,4.166669,1,8,6,0.347222417,262.497453
GA,15744,DULUTH,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,37284,CLARKESVILLE,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,32704,SENOIA,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,84725,ATLANTA,OFF,LIQUOR/PACKAGE STORE,0.333334,0.666667,0.166667,0,0,0,1.166668,1,1,1,0.097222333,199.2740865
GA,32416,POOLER,ON,BAR/TAVERN,0.333334,0.166667,0.166667,0,0,0,0.666668,1,2,1,0.055555667,169.8596603
GA,85351,SAVANNAH,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,25057,ALPHARETTA,ON,RESTAURANT,0.333334,1,0.333334,0,0,0,1.666668,1,5,4,0.138889,196.3498429
GA,56018,ATLANTA,ON,CONCESSIONAIRE,0.333334,0,0,0,0,0,0.333334,1,2,2,0.027777833,89.47482105
GA,49908,DECATUR,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,36610,ATHENS,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,71024,MARIETTA,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0.166667,0.833335,1,2,2,0.069444583,272.477455
GA,91926,ATLANTA,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,2,1,0.055555667,169.8596603
GA,43607,LAGRANGE,ON,RESTAURANT,0.333334,0,0,0,0,0,0.333334,1,1,1,0.027777833,89.47482105
GA,48861,ATLANTA,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,69342,ATLANTA,ON,HOTEL/ MOTEL,0.333334,0,1.166667,0,0,0,1.500001,1,3,1,0.125000083,232.5165117
GA,16242,ATLANTA,ON,RESTAURANT,0.333334,0,0,0,0,0,0.333334,1,2,2,0.027777833,178.9496421
GA,58482,WOODSTOCK,ON,RESTAURANT,0.333334,0.166667,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,40229,LAWRENCEVILLE,ON,RESTAURANT,0.333334,0,0.166667,0,0,0,0.500001,1,1,1,0.04166675,159.2996814
GA,75319,Unmatched,NA,UNASSIGNED,0.333333,0.333334,0,0,0,0,0.666667,1,1,1,0.055555583,139.8599301
GA,51100,GAINESVILLE,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,13707,MACON,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,90168,VALDOSTA,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0.333333,0,0,0,0.999999,1,1,1,0.08333325,237.4270374
GA,83347,BRUNSWICK,OFF,LIQUOR/PACKAGE STORE,0.333333,0.666666,0,0,0,0,0.999999,1,2,2,0.08333325,210.04021
GA,11059,MORROW,ON,RESTAURANT,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,178.950179
GA,72666,THOMSON,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,96634,COLUMBUS,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0.333333,0,0,0,0.999999,1,1,1,0.08333325,250.0536501
GA,76022,ATLANTA,ON,RESTAURANT,0.333333,1.166667,0.166667,0,0,0,1.666667,1,4,3,0.138888917,170.9729658
GA,55266,HORTENSE,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,200.2802003
GA,22933,SUGAR HILL,ON,RESTAURANT,0.333333,0.333333,0.333333,0,0,0,0.999999,1,1,1,0.08333325,226.4802265
GA,36365,MIDLAND,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0.833333,0,0,0,1.499999,1,2,2,0.124999917,265.6313104
GA,83546,POOLER,OFF,LIQUOR/PACKAGE STORE,0.333333,1.333333,1,0,0,0,2.666666,1,4,3,0.222222167,247.0462368
GA,13160,DECATUR,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,11477,SAVANNAH,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,72326,ATHENS,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,39298,SAINT SIMONS ISLAND,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,18530,THOMSON,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,55372,WRENS,ON,RESTAURANT,0.333333,0.833333,0.333333,0,0,0,1.499999,1,2,2,0.124999917,195.7734638
GA,34408,BUFORD,ON,BAR/TAVERN,0.333333,0.333334,0,0,0,0,0.666667,1,1,1,0.055555583,139.8599301
GA,24077,SAINT MARYS,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,69333,BLYTHE,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0.333333,0,0,0,0.999999,1,1,1,0.08333325,237.4270374
GA,63133,ATLANTA,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,183.5701836
GA,96041,ALPHARETTA,ON,RESTAURANT,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,178.950179
GA,26669,COLUMBUS,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0.333333,0,0,0,0.999999,1,1,1,0.08333325,250.0536501
GA,23939,COLUMBUS,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0.333333,0,0,0,0.666666,1,1,1,0.0555555,252.8054528
GA,78749,AMERICUS,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,81214,BRUNSWICK,OFF,LIQUOR/PACKAGE STORE,0.333333,0.333333,0,0,0,0,0.666666,1,1,1,0.0555555,207.6002076
GA,64850,BOWDON,ON,RESTAURANT,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,178.950179
GA,62754,BRUNSWICK,OFF,LIQUOR/PACKAGE STORE,0.333333,0,0,0,0,0,0.333333,1,1,1,0.02777775,200.2802003
GA,79374,AUSTELL,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,69017,ATLANTA,ON,HOTEL/ MOTEL,0.166667,0.666667,0,0,0,0,0.833334,1,2,2,0.0694445,161.231871
GA,53668,AUGUSTA,ON,BAR/TAVERN,0.166667,0.166667,0.333334,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,85339,STONE MOUNTAIN,OFF,LIQUOR/PACKAGE STORE,0.166667,1,0,0,0,0,1.166667,1,2,1,0.09722225,184.2170902
GA,96225,EATONTON,ON,BAR/TAVERN,0.166667,0,0.333334,0,0,0,0.500001,1,1,1,1,166.4096672
GA,42739,ATLANTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,75097,ALPHARETTA,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,34235,SAVANNAH,ON,RESTAURANT,0.166667,0.833335,0,0,0,0,1.000002,1,6,4,0.0833335,197.7746045
GA,88869,ATLANTA,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,10096,MARIETTA,ON,RESTAURANT,0.166667,0.333333,0,0,0,0,0.5,1,1,1,0.041666667,134.36
GA,62061,PERRY,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,99069,SWAINSBORO,ON,RESTAURANT,0.166667,0.166667,0.166667,0,0,0,0.500001,1,1,1,0.04166675,226.479547
GA,48841,AUGUSTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,97414,DOUGLASVILLE,OFF,LIQUOR/PACKAGE STORE,0.166667,1.166667,0.166667,0,0,0,1.500001,1,2,2,0.125000083,216.9220554
GA,23827,SAVANNAH,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,72413,STONE MOUNTAIN,OFF,LIQUOR/PACKAGE STORE,0.166667,1,0,0,0,0,1.166667,1,1,1,0.09722225,177.1456637
GA,28219,SUWANEE,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,42209,ATLANTA,ON,HOTEL/ MOTEL,0.166667,0.5,0,0,0,0,0.666667,1,2,2,0.055555583,195.8924021
GA,64638,EVANS,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,0
GA,16632,HELEN,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,41699,SAVANNAH,ON,BAR/TAVERN,0.166667,0.333334,0.166667,0,0,0,0.666668,1,1,1,0.055555667,169.8596603
GA,59478,ATLANTA,ON,RESTAURANT,0.166667,0.500001,0,0,0,0,0.666668,1,3,3,0.055555667,195.8921082
GA,67444,ALPHARETTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,79399,ATLANTA,ON,CONCESSIONAIRE,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,26028,ATLANTA,ON,HOTEL/ MOTEL,0.166667,0.5,0.5,0,0,0,1.166667,1,5,5,0.09722225,240.0599314
GA,55086,BRUNSWICK,ON,BAR/TAVERN,0.166667,0.333334,0,0,0,0,0.500001,1,1,1,0.04166675,126.8297463
GA,97602,ATLANTA,ON,RESTAURANT,0.166667,0.166667,0.166667,0,0,0,0.500001,1,1,1,0.04166675,226.479547
GA,78394,ATLANTA,ON,RESTAURANT,0.166667,0.166667,0.166667,0,0,0,0.500001,1,1,1,0.04166675,226.479547
GA,29300,MCDONOUGH,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,61548,ATLANTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,21216,LAWRENCEVILLE,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,42330,BLUE RIDGE,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,2,2,0.027777833,190.2446195
GA,30797,SAVANNAH,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,78565,HELEN,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,52923,FAYETTEVILLE,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,70628,DECATUR,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,35904,HAMPTON,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,23802,ATLANTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,59898,ATLANTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,19884,STATHAM,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,97941,SAVANNAH,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,78688,ATLANTA,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,1,178.9496421
GA,46864,SMYRNA,ON,RESTAURANT,0.166667,0.166667,0.166667,0,0,0,0.500001,1,1,1,0.04166675,226.479547
GA,24504,ROSWELL,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,67869,ATLANTA,ON,BAR/TAVERN,0.166667,0.5,0,0,0,0,0.666667,1,2,2,0.055555583,195.8924021
GA,23492,LAGRANGE,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,90203,ATLANTA,ON,RESTAURANT,0.166667,1.333335,0,0,0,0,1.500002,1,6,6,0.125000167,179.1464278
GA,36600,ATLANTA,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,52872,SMYRNA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,71998,HAZLEHURST,OFF,LIQUOR/PACKAGE STORE,0.166667,1.166667,1.166667,0,0,0,2.500001,1,3,3,0.208333417,261.4944954
GA,24623,NORCROSS,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,90304,DOUGLASVILLE,ON,RESTAURANT,0.166667,0,0.833333,0,0,0,1,1,2,2,0.083333333,249.125
GA,17689,LILBURN,OFF,LIQUOR/PACKAGE STORE,0.166667,0.5,0.5,0,0,0,1.166667,1,1,1,0.09722225,226.5898495
GA,69404,ALPHARETTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,49127,VILLA RICA,ON,RESTAURANT,0.166667,0.500001,0.666667,0,0,0,1.333335,1,3,3,0.11111125,222.2284722
GA,28429,FORT OGLETHORPE,ON,RESTAURANT,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,92300,ATLANTA,ON,RESTAURANT,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,94989,DECATUR,ON,BAR/TAVERN,0.166667,0.166667,0,0,0,0,0.333334,1,1,1,0.027777833,190.2446195
GA,15842,ALPHARETTA,ON,RESTAURANT,0.166667,0.5,0,0,0,0,0.666667,1,1,1,1,151.1549244
GA,94668,ATLANTA,ON,BAR/TAVERN,0.166667,0,0,0,0,0,0.166667,1,1,1,0.013888917,178.9496421
GA,17302,LITHIA SPRINGS,ON,HOTEL/ MOTEL,0.166667,0,0.333333,0,0,0,0.5,1,1,1,0.041666667,199.3
